sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10
894,966,759,784,814,855,630,4,65,2
896,978,759,751,801,857,628,4,63,1
895,981,757,717,784,855,628,4,63,1
895,981,759,766,809,858,627,4,47,1
896,982,760,760,809,859,628,4,47,1
898,982,761,747,808,860,628,4,56,1
895,981,759,753,809,855,627,3,18,0
894,976,753,739,805,854,626,1,43,1
894,974,754,746,817,854,619,0,0,0
895,973,754,735,818,855,609,0,0,0
895,972,754,726,789,856,616,0,0,0
898,972,767,809,779,859,618,0,1,0
903,971,783,871,751,863,612,0,0,0
904,971,792,903,780,865,619,0,94,1
905,968,806,922,796,862,607,0,451,0
902,968,785,921,429,855,603,0,554,0
897,968,768,927,101,854,620,1,625,0
897,967,768,931,99,858,601,1,659,0
898,966,766,929,98,859,579,2,671,0
901,965,775,928,97,866,608,4,691,0
905,965,784,930,98,865,591,3,706,1
903,965,787,932,97,855,606,2,711,0
901,964,790,933,97,728,605,2,694,1
902,963,792,934,97,858,608,2,688,1
903,964,795,934,98,857,605,3,662,1
906,966,814,933,100,862,612,3,658,1
912,967,838,934,102,866,618,3,657,0
913,967,842,934,102,741,622,3,661,1
913,968,840,935,105,872,618,3,660,1
913,968,840,936,105,871,609,4,665,1
912,968,838,936,123,870,615,4,669,0
912,968,837,936,130,870,614,4,666,1
912,968,840,936,132,871,613,3,667,1
913,968,840,937,133,871,620,3,669,1
913,969,841,937,130,871,608,4,673,0
912,968,828,937,133,868,614,3,673,1
909,968,822,937,148,867,608,4,673,1
909,969,823,938,154,867,613,3,672,1
910,969,827,938,155,868,608,3,671,1
909,969,825,938,156,867,598,3,674,1
907,969,817,938,158,865,597,4,675,1
907,969,812,939,159,865,600,3,671,1
907,969,818,939,152,865,599,4,673,1
908,969,811,939,157,863,601,4,672,1
907,968,812,939,163,734,603,4,672,1
